room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
488274,2415582,Entire home/apt,,1,3,4,2,0,120,6,21.299927,-158.103684,24:18.9
2393986,13894229,Entire home/apt,,2,21,5,,3,285,5,21.554791,-157.854604,24:16.4
6601578,34536998,Private room,,9,0,,3,1,57,2,21.438975,-158.00806,24:03.0
10542640,54364761,Entire home/apt,,3,2,4.5,3,0,90,1,21.399095,-157.735772,23:59.4
6812826,35667907,Entire home/apt,,2,0,,,4,523,6,21.587029,-158.113843,23:48.2
8522791,706371,Entire home/apt,,4,0,,,2,399,5,21.284083,-157.837946,23:37.9
8429041,27131231,Entire home/apt,,4,2,3.5,,1,280,1,21.275689,-157.820189,23:23.3
10773485,43793840,Entire home/apt,,4,4,5,2,0,89,2,21.272932,-157.82146,23:16.6
5448155,15652222,Entire home/apt,,1,5,5,,3,525,6,21.335254,-158.122429,23:10.1
9188426,44201399,Entire home/apt,,2,1,,,6,1409,,21.663689,-157.936241,23:06.3
8489768,13015695,Private room,,6,24,4.5,3,1,55,1,21.359197,-157.854119,22:56.0
8613490,43532519,Entire home/apt,,2,0,,,5,565,4,21.621057,-157.91484,22:50.0
9628335,49799651,Private room,,4,11,5,2,1,70,1,21.286105,-157.831317,22:46.5
10551563,42705922,Entire home/apt,,4,1,4,2,0,80,3,21.286159,-157.833691,22:44.3
322914,461037,Entire home/apt,,2,4,4.5,4,2,180,5,21.699415,-157.994444,21:20.9
1978125,9384967,Entire home/apt,,1,43,5,,3,289,5,21.320507,-158.020705,21:16.1
2212024,11284178,Entire home/apt,,3,2,4,,5,773,6,21.391817,-157.717778,21:09.6
10179268,21384555,Entire home/apt,,4,2,4,,1,135,1,21.276641,-157.820535,21:03.0
6435458,16113256,Entire home/apt,,4,20,4.5,2,0,100,3,21.284675,-157.833963,20:59.2
2710380,8900546,Private room,,6,31,4.5,3,1,85,2,21.316758,-157.849308,20:48.7
6887991,2783824,Entire home/apt,,4,21,4.5,3,0,128,1,21.285001,-157.835889,20:43.2
5671479,14898273,Entire home/apt,,3,1,5,,4,915,3,21.340217,-157.700359,20:41.1
210168,1036212,Private room,,3,80,4.5,2,1,75,1,21.402285,-157.739781,20:32.5
6271795,14208711,Entire home/apt,,4,22,4.5,3,0,142,1,21.286012,-157.839762,20:26.3
3923766,20326256,Private room,,3,84,4.5,2,1,70,1,21.427962,-157.748458,20:23.1
7688935,40381287,Entire home/apt,,1,1,5,,3,300,10,21.342031,-158.117684,20:13.8
4582947,7054805,Entire home/apt,,4,11,4,,1,229,5,21.279674,-157.832429,20:10.0
2621036,706371,Entire home/apt,,4,2,5,4,1,209,3,21.290421,-157.840328,20:02.6
3656768,5402892,Private room,,3,32,5,4,1,85,30,21.413572,-157.817803,19:58.9
8638407,45414522,Entire home/apt,,2,2,5,,5,500,,21.635417,-157.918664,19:39.1
7236452,33083345,Private room,,9,26,4.5,3,1,70,1,21.333017,-158.011951,19:36.9
10311361,34884725,Shared room,,4,0,,1,1,68,1,21.289077,-157.693587,19:33.7
6665507,33380091,Entire home/apt,,4,0,,4,1,120,,21.275334,-157.821998,19:30.6
10600419,54691250,Private room,,5,4,5,2,1,75,2,21.287075,-157.821767,19:09.9
9903840,45388803,Entire home/apt,,4,1,5,4,1,135,1,21.275083,-157.820977,19:07.7
5637567,18251510,Entire home/apt,,1,0,,,6,700,5,21.461504,-158.209017,19:06.0
4886632,984502,Private room,,2,18,4.5,3,1,100,1,21.65016,-158.044985,19:03.7
8968027,5448114,Entire home/apt,,4,7,5,2,0,90,4,21.287189,-157.833499,19:00.9
